Tableau : Web connector,2018-10-29 14:00:00+01:00,2018-10-29 15:30:00+01:00,None,None
dej sur les quais,2020-07-16 12:45:00+02:00,2020-07-16 13:45:00+02:00,"Rdv 12h45 au Square du vert galant
Chacun ramène son plat!

Mon numéro au cas où: 06 80 92 91 05 (Emmanuel Charon).",Square du vert galant
Déjeuner OxfamTW,2019-06-13 12:00:00+02:00,2019-06-13 14:00:00+02:00,None,None
Call Hitachi Vantara - Pentaho,2018-11-14 09:00:00+00:00,2018-11-14 09:30:00+00:00,,None
Tableau & Enercoop,2018-02-02 14:00:00+00:00,2018-02-02 15:00:00+00:00,"-- Do not delete or change any of the following text. --


Join WebEx meeting<https://tableau.webex.com/tableau/j.php?MTID=mffaa70c82c7de9a4dc62b92705ddd282>
Meeting number (access code): 809 932 411


Join from a video system or application
Dial 809932411@tableau.webex.com<sip:809932411@tableau.webex.com>
You can also dial 173.243.2.68 and enter your meeting number.

Join by phone
1-650-479-3208 Call-in toll number (US/Canada)
Global call-in numbers<https://tableau.webex.com/tableau/globalcallin.php?serviceType=MC&ED=648884022&tollFree=0>

Can't join the meeting?<https://help.webex.com/docs/DOC-5412>

If you are a host, go here<https://tableau.webex.com/tableau/j.php?MTID=m0b7a0af084076df8215285368c733219> to view host information.

IMPORTANT NOTICE: Please note that this WebEx service allows audio and other information sent during the session to be recorded, which may be discoverable in a legal matter. By joining this session, you automatically consent to such recordings. If you do not consent to being recorded, discuss your concerns with the host or do not join the session.",WebEx
Reunion a distance VA mercredi 17 juin 2020 a 15H,2020-06-17 15:00:00+02:00,2020-06-17 16:30:00+02:00,"Bonjour à toutes et à tous,



Suite à votre inscription à notre réunion d'information à distance dédiée à la validation des acquis, nous avons le plaisir de vous donner rendez-vous mercredi 17 JUIN 2020 à 15h00.



Pour nous rejoindre, il vous suffira :

  *
de sélectionner la réunion en cliquant sur le lien  Rejoindre la réunion Teams  ci-dessous

OU

  *
d’installer le logiciel Teams en cliquant sur le lien ci-après :

https://www.microsoft.com/fr-fr/microsoft-365/microsoft-teams/download-app

Télécharger Microsoft Teams pour PC, Mac, iOS et Android<https://www.microsoft.com/fr-fr/microsoft-365/microsoft-teams/download-app>Téléchargez Microsoft Teams pour PC, Mac, iOS, Android. Facilite le télétravail et la collaboration grâce à la visioconférence, la messagerie instantanée.www.microsoft.com


Il est également possible d'y accéder via les navigateurs Google Chrome ou Microsoft Edge sans installation du logiciel.







Pour une bonne utilisation de teams, il est demandé de couper son micro pendant que le formateur ou un collègue communique.



Si vous rencontrez un problème technique merci de nous contacter :

  *   najma.choukri@lecnam.net  en mentionnant en objet SOS connexion RIC VA





Nous restons à votre disposition pour tout complément d'information.



Bien cnam-ement,





________________________________________________________________________________
Join Microsoft Teams Meeting<https://teams.microsoft.com/l/meetup-join/19%3ameeting_ODQxMmMxNGYtMzM4NS00NDY1LTg3YjEtOTA4M2FmYjc3MDRk%40thread.v2/0?context=%7b%22Tid%22%3a%22b323bcb4-6d58-4f25-87bf-6366c3d689af%22%2c%22Oid%22%3a%22d8d99ca5-867d-495d-b640-89d905cdfd92%22%7d>
Learn more about Teams<https://aka.ms/JoinTeamsMeeting> | Meeting options<https://teams.microsoft.com/meetingOptions/?organizerId=d8d99ca5-867d-495d-b640-89d905cdfd92&tenantId=b323bcb4-6d58-4f25-87bf-6366c3d689af&threadId=19_meeting_ODQxMmMxNGYtMzM4NS00NDY1LTg3YjEtOTA4M2FmYjc3MDRk@thread.v2&messageId=0&language=en-US>
________________________________________________________________________________",None
Hitachi Vantara/Enercoop - Pentaho,2018-12-04 09:00:00+00:00,2018-12-04 09:30:00+00:00,".........................................................................................................................................
Join online meeting<https://meet.hitachivantara.com/marie.chauvet/Z3ITQTXZ>

Join by Phone
Austria 800070220,,16767562# (EMEA)            English (United States)

Belgium 3222009013,,16767562# (EMEA)            English (United States)

Cyprus 80092586,,16767562# (EMEA)            English (United Kingdom)

Greece 80044148880,,16767562# (EMEA)            English (United Kingdom)

Hungary 680981527,,16767562# (EMEA)            English (United Kingdom)

Iceland 8007427,,16767562# (EMEA)            English (United Kingdom)

Ireland 1800946784,,16767562# (EMEA)            English (United Kingdom)

Ireland 35319075698,,16767562# (EMEA)            English (United Kingdom)

Israel 1809388103,,16767562# (EMEA)            English (United Kingdom)

Luxembourg 3523420808098 (Toll),,16767562# (EMEA)            English (United Kingdom)

Luxembourg 80085092 (Toll Free),,16767562# (EMEA)            English (United Kingdom)

Turkey 00800448825411,,16767562# (EMEA)            English (United Kingdom)

UK 02036841008,,16767562# (EMEA)            English (United Kingdom)

UK 08005872191,,16767562# (EMEA)            English (United Kingdom)

Portugal 0800781330,,16767562# (EMEA)            English (United Kingdom)

Find a local number<https://dialin.hitachivantara.com>

Conference ID: 16767562

Forgot your dial-in PIN?<https://dialin.hitachivantara.com>
.........................................................................................................................................",Online meeting
Restitution écoute cercle rémunération,2020-10-16 16:15:00+02:00,2020-10-16 17:15:00+02:00,"Vincent Lagalaye vous invite à une réunion Zoom planifiée.

Participer à la réunion Zoom
https://us02web.zoom.us/j/85379360307

ID de réunion : 853 7936 0307
Une seule touche sur l’appareil mobile
+13462487799,,85379360307# États-Unis d’Amérique (Houston)
+16699006833,,85379360307# États-Unis d’Amérique (San Jose)

Composez un numéro en fonction de votre emplacement
        +1 346 248 7799 États-Unis d’Amérique (Houston)
        +1 669 900 6833 États-Unis d’Amérique (San Jose)
        +1 929 436 2866 États-Unis d’Amérique (New York)
        +1 253 215 8782 États-Unis d’Amérique (Tacoma)
        +1 301 715 8592 États-Unis d’Amérique (Germantown)
        +1 312 626 6799 États-Unis d’Amérique (Chicago)
ID de réunion : 853 7936 0307
Trouvez votre numéro local : https://us02web.zoom.us/u/kdLwCW7CRe",https://us02web.zoom.us/j/85379360307
Tableau & Enercoop,2018-02-08 14:30:00+00:00,2018-02-08 15:30:00+00:00,,WebEx
Réunion de cadrage pour 2 PDL EN. Aquitaine,2016-09-13 09:00:00+02:00,2016-09-13 10:00:00+02:00,"Le but est de faire un point sur les 2 PDL remportés par ENERCOOP Aquitaine. Marc remplit le tableur de pilotage et nous l'envoie. Il va nous l'expliquer le jour de la réunion. 
J'ai mis Patricia, Bruno, Raouya et Kevin à titre informatif car a priori ils ne seront pas présents.",salle Hélios (yoga au 3ème) pour les parisiens et téléphonique pour Marc (même codes que commission commerciale)
Point Orga Tableau,2018-11-15 17:00:00+01:00,2018-11-15 18:00:00+01:00,None,None
Dej CSE,2020-02-19 12:30:00+01:00,2020-02-19 13:30:00+01:00,"Retrouvons-nous lors d'un temps un petit peu plus convivial et un peu moins pressé :)
Toute proposition de lieu (restau) est la bienvenue !",None
Test serveur,2018-11-09 10:00:00+01:00,2018-11-09 11:00:00+01:00,None,None
Travail pour la grille tarifaire,2018-11-05 14:00:00+01:00,2018-11-05 17:00:00+01:00,None,None
Coupure Coopener pour réplicat,2019-03-04 19:00:00+01:00,2019-03-04 23:00:00+01:00,Je créée cet évènement simplement pour qu'on s'en souvienne bien lundi.,None
Point CNAM,2020-10-12 14:00:00+02:00,2020-10-12 14:30:00+02:00,Ici: https://visio.enercoop.org/datateam  !,None
Mise en route Tableau - Communication,2019-02-26 10:00:00+01:00,2019-02-26 10:30:00+01:00,Création de l'accès pour le service communication à Tableau et formation de prise en main.,None
Travail syndical,2019-11-27 14:00:00+01:00,2019-11-27 18:00:00+01:00,None,None
CSE Extraordinaire - Bilan DG,2020-06-09 09:30:00+02:00,2020-06-09 10:30:00+02:00,"Pole pole vous invite à une réunion Zoom planifiée.

Sujet : Ma réunion
Heure : 9 juin 2020 09:30 AM Paris

Participer à la réunion Zoom
https://us02web.zoom.us/j/89961512839

ID de réunion : 899 6151 2839
Une seule touche sur l’appareil mobile
+16699006833,,89961512839# États-Unis d’Amérique (San Jose)
+12532158782,,89961512839# États-Unis d’Amérique (Tacoma)

Composez un numéro en fonction de votre emplacement
        +1 669 900 6833 États-Unis d’Amérique (San Jose)
        +1 253 215 8782 États-Unis d’Amérique (Tacoma)
        +1 346 248 7799 États-Unis d’Amérique (Houston)
        +1 929 205 6099 États-Unis d’Amérique (New York)
        +1 301 715 8592 États-Unis d’Amérique (Germantown)
        +1 312 626 6799 États-Unis d’Amérique (Chicago)
        +33 1 7037 9729 France
        +33 1 7095 0103 France
        +33 1 7095 0350 France
        +33 7 5678 4048 France
        +33 1 7037 2246 France
ID de réunion : 899 6151 2839
Trouvez votre numéro local : https://us02web.zoom.us/u/kd3mCWy2KG",None
Point Infra -  point d'avancement.,2019-01-07 14:00:00+01:00,2019-01-07 15:00:00+01:00,"Point sur le changement d'infra data en prenant en compte l'avis d'Emmanuel Charron, le nouveau ingénieur de données.",Salle 42
[DS] Travail,2020-05-05 17:00:00+02:00,2020-05-05 18:30:00+02:00,"Mehdi vous invite à une réunion.

Rejoindre la réunion:
https://visio.enercoop.org/Prep_NAO

Pour rejoindre depuis un téléphone, saisissez : +33.9.70.30.26.85,,2967#

Vous cherchez un numéro d'appel différent?
Afficher les numéros d'appel de la réunion: https://visio.enercoop.org/static/dialInInfo.html?room=Prep_NAO


Si vous appelez également via un téléphone de salle, vous pouvez vous connecter sans audio: https://visio.enercoop.org/Prep_NAO#config.startSilent=true

mdp : J4urès",None
Point Transfo Numérique Mehdi/Paola,2019-05-16 11:00:00+02:00,2019-05-16 11:30:00+02:00,"Moment d'échange sur l'organisation, la charge de travail, le positionnement au sein de la branche Transfo Numérique. (+tout sujet autre que les projets en cours)",Salle-41-Numerique
Point supervision Tableau,2018-10-19 11:00:00+02:00,2018-10-19 11:30:00+02:00,None,Dans le bureau des admin sys
OFF,2019-06-14 12:30:00+02:00,2019-06-14 19:30:00+02:00,None,None
Ticket Restau,2018-10-30 11:15:00+01:00,2018-10-30 12:00:00+01:00,None,None
point API : Hotwo,2018-03-29 15:30:00+02:00,2018-03-29 16:00:00+02:00,None,None
Point Covid 19 - Situation hebdo CSE,2020-05-14 14:00:00+02:00,2020-05-14 15:00:00+02:00,"Pole pole vous invite à une réunion Zoom planifiée.

Sujet : Covid 19 - Suivi situation hebdo CSE
Heure : 14 mai 2020 02:00 PM Paris
        Chaque semaine le Jeudi 
        14 mai 2020 02:00 PM
        21 mai 2020 02:00 PM
        28 mai 2020 02:00 PM
Téléchargez et importez les fichiers iCalendar (.ics) suivants dans votre système de calendrier.
Chaque semaine  : https://us02web.zoom.us/meeting/tZYscO2gqD4qHNUnD4iJnRvM-C0GEGPZFY-d/ics?icsToken=98tyKuGqrzwuEtKQsB-GRpwQBY_CLPzwpiVfgo1okjuxCgpdUBXbe8ESFZdYIOL2

Participer à la réunion Zoom
https://us02web.zoom.us/j/82174865061?pwd=MzAvWXZMckRTTWQyNTAzbWtiNzM4Zz09

ID de réunion : 821 7486 5061
Mot de passe : 526910
Une seule touche sur l’appareil mobile
+12532158782,,82174865061# États-Unis d’Amérique (Tacoma)
+13462487799,,82174865061# États-Unis d’Amérique (Houston)

Composez un numéro en fonction de votre emplacement
        +1 253 215 8782 États-Unis d’Amérique (Tacoma)
        +1 346 248 7799 États-Unis d’Amérique (Houston)
        +1 669 900 6833 États-Unis d’Amérique (San Jose)
        +1 301 715 8592 États-Unis d’Amérique (Germantown)
        +1 312 626 6799 États-Unis d’Amérique (Chicago)
        +1 929 205 6099 États-Unis d’Amérique (New York)
ID de réunion : 821 7486 5061
Trouvez votre numéro local : https://us02web.zoom.us/u/keeum6jIef",None
Point Covid 19 - Situation hebdo CSE,2020-05-14 14:00:00+02:00,2020-05-14 15:00:00+02:00,"Pole pole vous invite à une réunion Zoom planifiée.

Sujet : Covid 19 - Suivi situation hebdo CSE
Heure : 14 mai 2020 02:00 PM Paris
        Chaque semaine le Jeudi 
        14 mai 2020 02:00 PM
        21 mai 2020 02:00 PM
        28 mai 2020 02:00 PM
Téléchargez et importez les fichiers iCalendar (.ics) suivants dans votre système de calendrier.
Chaque semaine  : https://us02web.zoom.us/meeting/tZYscO2gqD4qHNUnD4iJnRvM-C0GEGPZFY-d/ics?icsToken=98tyKuGqrzwuEtKQsB-GRpwQBY_CLPzwpiVfgo1okjuxCgpdUBXbe8ESFZdYIOL2

Participer à la réunion Zoom
https://us02web.zoom.us/j/82174865061?pwd=MzAvWXZMckRTTWQyNTAzbWtiNzM4Zz09

ID de réunion : 821 7486 5061
Mot de passe : 526910
Une seule touche sur l’appareil mobile
+12532158782,,82174865061# États-Unis d’Amérique (Tacoma)
+13462487799,,82174865061# États-Unis d’Amérique (Houston)

Composez un numéro en fonction de votre emplacement
        +1 253 215 8782 États-Unis d’Amérique (Tacoma)
        +1 346 248 7799 États-Unis d’Amérique (Houston)
        +1 669 900 6833 États-Unis d’Amérique (San Jose)
        +1 301 715 8592 États-Unis d’Amérique (Germantown)
        +1 312 626 6799 États-Unis d’Amérique (Chicago)
        +1 929 205 6099 États-Unis d’Amérique (New York)
ID de réunion : 821 7486 5061
Trouvez votre numéro local : https://us02web.zoom.us/u/keeum6jIef",None
Point Covid 19 - Situation hebdo CSE,2020-05-21 14:00:00+02:00,2020-05-21 15:00:00+02:00,"Pole pole vous invite à une réunion Zoom planifiée.

Sujet : Covid 19 - Suivi situation hebdo CSE
Heure : 14 mai 2020 02:00 PM Paris
        Chaque semaine le Jeudi 
        14 mai 2020 02:00 PM
        21 mai 2020 02:00 PM
        28 mai 2020 02:00 PM
Téléchargez et importez les fichiers iCalendar (.ics) suivants dans votre système de calendrier.
Chaque semaine  : https://us02web.zoom.us/meeting/tZYscO2gqD4qHNUnD4iJnRvM-C0GEGPZFY-d/ics?icsToken=98tyKuGqrzwuEtKQsB-GRpwQBY_CLPzwpiVfgo1okjuxCgpdUBXbe8ESFZdYIOL2

Participer à la réunion Zoom
https://us02web.zoom.us/j/82174865061?pwd=MzAvWXZMckRTTWQyNTAzbWtiNzM4Zz09

ID de réunion : 821 7486 5061
Mot de passe : 526910
Une seule touche sur l’appareil mobile
+12532158782,,82174865061# États-Unis d’Amérique (Tacoma)
+13462487799,,82174865061# États-Unis d’Amérique (Houston)

Composez un numéro en fonction de votre emplacement
        +1 253 215 8782 États-Unis d’Amérique (Tacoma)
        +1 346 248 7799 États-Unis d’Amérique (Houston)
        +1 669 900 6833 États-Unis d’Amérique (San Jose)
        +1 301 715 8592 États-Unis d’Amérique (Germantown)
        +1 312 626 6799 États-Unis d’Amérique (Chicago)
        +1 929 205 6099 États-Unis d’Amérique (New York)
ID de réunion : 821 7486 5061
Trouvez votre numéro local : https://us02web.zoom.us/u/keeum6jIef",None
Diffusion documentaire,2017-08-03 19:00:00+02:00,2017-08-03 22:00:00+02:00,None,Salle commune
Réunion Tableau - suite,2018-11-16 11:00:00+01:00,2018-11-16 12:00:00+01:00,None,None
Point RH - Mehdi/Florent/Meriem,2020-05-18 10:00:00+02:00,2020-05-18 11:00:00+02:00,"Pole pole vous invite à une réunion Zoom planifiée.

Sujet : Point RH
Heure : 18 mai 2020 10:00 AM Paris

Participer à la réunion Zoom
https://us02web.zoom.us/j/82770220532?pwd=dVRqaVlLN2RzNjdIazZoc0FKdStzUT09

ID de réunion : 827 7022 0532
Mot de passe : 784068
Une seule touche sur l’appareil mobile
+13462487799,,82770220532# États-Unis d’Amérique (Houston)
+16699006833,,82770220532# États-Unis d’Amérique (San Jose)

Composez un numéro en fonction de votre emplacement
        +1 346 248 7799 États-Unis d’Amérique (Houston)
        +1 669 900 6833 États-Unis d’Amérique (San Jose)
        +1 253 215 8782 États-Unis d’Amérique (Tacoma)
        +1 312 626 6799 États-Unis d’Amérique (Chicago)
        +1 929 205 6099 États-Unis d’Amérique (New York)
        +1 301 715 8592 États-Unis d’Amérique (Germantown)
ID de réunion : 827 7022 0532
Trouvez votre numéro local : https://us02web.zoom.us/u/kiZ0uykMK",None
Point optimisation de données.,2018-11-16 10:30:00+01:00,2018-11-16 11:00:00+01:00,"Bonjour,

La fabrication des rejeux est ce qui est le plus consommateur de puissance à l'heure actuel en plus de leur quantité (~ 35 millions de lignes). Celle-ci sont amenés à augmenter. À puissance constante des processeurs de nos serveurs, ll est donc nécessaire de voir comment optimiser la rapidité de la fabrication de cette source de données.

Il y a plusieurs paramètres :

1 ) la période des données nécessaires : Est-il nécessaire de regarder toute les données ? 
2) l'optimisation de la base de données : Doit héberger les données dans des bases hors Enercoop ? 
3) L'optimisation de la visualisation. Quelle améliorations possibles en plus d'avoir tableau Server ?

Je vous propose que l'on se voit afin de trouver une piste durable pour améliorer la productions des chiffres de l'approvisionnement.",None
Arrivée Emmanuel,2019-01-09 09:30:00+01:00,2019-01-09 12:30:00+01:00,"Matinée : Faire le tour des locaux 
Présenter l’équipe et s’assurer que le nouvel arrivé aura tout ce dont il a besoin 
pour démarrer sa première journée chez Enercoop !

SG : Remise de badges
Passer au 2ème étage

RH : Remise de contrat, autres
Passer au 3ème étage

SI : Remise de matériel et prise en main
Passer au 4ème étage",None
Commission outils,2017-09-26 15:30:00+02:00,2017-09-26 17:00:00+02:00,"Bonjour, voici une invitation pour notre prochaine commission outils, nous y traiterons :

- Les dernières évolutions du SI : Clood, 
- Retours sur la dernière réunion : synthèse
- Plan d'action et perspectives AdminSys
- Question diverses",None
Point RH - Mehdi/Paola/Meriem,2019-01-14 17:00:00+01:00,2019-01-14 17:30:00+01:00,None,None
Chèque Déjeuner,2020-01-30 11:30:00+01:00,2020-01-30 12:30:00+01:00,None,None
CSE exceptionnel -08.07.2020,2020-07-08 14:00:00+02:00,2020-07-08 16:00:00+02:00,"Pole pole vous invite à une réunion Zoom planifiée.

Sujet : Ma réunion
Heure : 8 juil. 2020 02:00 PM Paris

Participer à la réunion Zoom
https://us02web.zoom.us/j/82005371630

ID de réunion : 820 0537 1630
Une seule touche sur l’appareil mobile
+13462487799,,82005371630# États-Unis d’Amérique (Houston)
+16699006833,,82005371630# États-Unis d’Amérique (San Jose)

Composez un numéro en fonction de votre emplacement
        +1 346 248 7799 États-Unis d’Amérique (Houston)
        +1 669 900 6833 États-Unis d’Amérique (San Jose)
        +1 253 215 8782 États-Unis d’Amérique (Tacoma)
        +1 312 626 6799 États-Unis d’Amérique (Chicago)
        +1 929 205 6099 États-Unis d’Amérique (New York)
        +1 301 715 8592 États-Unis d’Amérique (Germantown)
        +33 1 7037 2246 France
        +33 1 7037 9729 France
        +33 1 7095 0103 France
        +33 1 7095 0350 France
        +33 1 8699 5831 France
ID de réunion : 820 0537 1630
Trouvez votre numéro local : https://us02web.zoom.us/u/keaXBe1qdF",None
[Cnam] -  Cours,2020-10-13 18:15:00+02:00,2020-10-13 21:30:00+02:00,None,None
CSE / créneau pour remplacer le créneau du 1er juillet matin (qui est lui même remplace par une réu DIRCSE),2020-06-30 11:00:00+02:00,2020-06-30 13:00:00+02:00,None,None
MSE - Distribution,2019-05-07 17:00:00+02:00,2019-05-07 18:30:00+02:00,None,None
Déjeuner Trail Watt-Walkers !!,2019-06-13 12:30:00+02:00,2019-06-13 14:00:00+02:00,None,None
Célébration SI/Coopener,2018-01-17 17:45:00+01:00,2018-01-17 18:45:00+01:00,None,None
Sensibilisation numérique,2020-06-04 09:00:00+02:00,2020-06-04 10:45:00+02:00,None,None
[Cnam] -  Cours,2020-10-30 16:45:00+01:00,2020-10-30 22:00:00+01:00,None,None
Pair programming / ticketing,2019-01-21 15:00:00+01:00,2019-01-21 17:00:00+01:00,None,None
Mini point Tableau,2018-06-15 10:30:00+02:00,2018-06-15 11:00:00+02:00,None,None
[Cnam] -  Cours,2020-10-29 17:45:00+01:00,2020-10-29 22:00:00+01:00,None,None
Médecine du travail,2018-07-02 11:30:00+02:00,2018-07-02 12:30:00+02:00,"Dr Patricia LETICH
au centre médical ci-dessous :
CENTRE FLANDRE
1-3 AVENUE DE FLANDRE
1er ETAGE
75019 PARIS
METRO STALINGRAD",None
[Cnam] -  Cours,2020-11-20 16:45:00+01:00,2020-11-20 22:00:00+01:00,None,None
Extract' REScoop Plus - point d'étape,2018-09-19 10:00:00+02:00,2018-09-19 11:00:00+02:00,None,42
[Cnam] -  Cours,2020-11-03 17:45:00+01:00,2020-11-03 22:00:00+01:00,None,None
Rescoop,2018-10-18 14:45:00+02:00,2018-10-18 19:00:00+02:00,travail sur rescoop,None
[Cnam] -  Cours,2020-11-19 17:45:00+01:00,2020-11-19 22:00:00+01:00,None,None
[Cnam] -  Cours,2020-11-26 17:45:00+01:00,2020-11-26 22:00:00+01:00,None,None
Point tableau de bord Souscriptions,2019-01-23 12:00:00+01:00,2019-01-23 12:30:00+01:00,None,None
TDB revivals et Chat,2019-06-26 11:00:00+02:00,2019-06-26 12:00:00+02:00,None,Salle 41
[Cnam] -  Cours,2020-11-27 16:45:00+01:00,2020-11-27 22:00:00+01:00,None,None
[Cnam] -  Cours,2020-12-15 17:45:00+01:00,2020-12-15 22:00:00+01:00,None,None
[Cnam] -  Cours,2021-01-08 16:45:00+01:00,2021-01-08 22:00:00+01:00,None,None
[Cnam] -  Cours,2021-01-07 17:45:00+01:00,2021-01-07 22:00:00+01:00,None,None
Préparation Négo CSE,2019-10-21 17:00:00+02:00,2019-10-21 18:00:00+02:00,"Tentative de RdV pour préparer la réunion de mercredi.
Pour plancher sur les propositions de Solenn (cf son mail du 15/10)",None
[Cnam] -  Cours,2021-01-15 15:45:00+01:00,2021-01-15 22:00:00+01:00,None,None
[Cnam] -  Cours,2021-01-14 16:45:00+01:00,2021-01-14 22:00:00+01:00,None,None
Recette récapitulatif,2017-04-21 09:30:00+02:00,2017-04-21 10:30:00+02:00,"Bonjour,

Je vous propose de décaler la recette du récap vu que presque personne n'était disponible lors du dernier créneau.

Bonne journée,


Bruna",S44
Soirée David Nadasi,2018-06-22 20:00:00+02:00,2018-06-22 23:55:00+02:00,None,None
Point périmètre,2019-11-06 14:00:00+01:00,2019-11-06 15:00:00+01:00,"Revu de https://dub01.online.tableau.com/#/site/enercoop/workbooks/425191/views
à partir des remarques du ticket : https://github.com/enercoop/Tableau/issues/262",None
rdv soutien,2019-03-14 12:30:00+01:00,2019-03-14 13:30:00+01:00,Explorer la mise en place de inluzor.fr à travers un micro projet : mots.incluzor.fr,None
[CSE] - Charte Informatique -> questions,2020-07-21 14:00:00+02:00,2020-07-21 15:30:00+02:00,None,None
Coopener V2 - Formation Socle de base,2017-09-05 10:00:00+02:00,2017-09-05 18:00:00+02:00,"Bonjour à tous,

Vous trouverez ci-dessous l'invitation pour la formation au socle de base de l'outil Coopener V2. Au programme :
* Modèle de données
* Processus de facturation
* Cycle de vie d'un client
* Processus de recouvrement
* Prise en main

Je reste à disposition si besoin,
Bonne journée,
Adèle Roy",Salle 33 Hélios
Présentation Data - Polen,2019-09-16 14:15:00+02:00,2019-09-16 15:15:00+02:00,"Ceci est la 2ème édition d'un point fait début août (où Julie, Rachel, Komi, Robin étaient présents). Il faudrait qu'Albane soit présente cette fois ci. 

Emmanuel Charon va présenter dans les grandes lignes comment fonctionnent les outils data/numériques qu'on fait pour le Polen. 

Support: https://docs.google.com/presentation/d/13xOSTJw1SVg1ySQlZClWQLyaI6vLfJ_xtSEwanNr_PY/edit

3 parties : 
- Technologies et infrastructure
- Modèles de données et méthodes de calcul
- Gestion des champs temporels",None
Séminaire pôle numérique,2017-09-22 09:00:00+02:00,2017-09-22 18:00:00+02:00,None,"Les canaux -  6 Quai de la Seine, 75019 Paris"
Formation TURPE 5 Mehdi,2017-06-15 14:00:00+02:00,2017-06-15 15:00:00+02:00,None,None
Point téléphonique avec Tableau,2018-01-31 10:00:00+01:00,2018-01-31 11:00:00+01:00,None,None
Négociation Rémunération - Séance 2,2019-02-04 16:00:00+01:00,2019-02-04 18:00:00+01:00,None,None
Point Tableau,2018-08-27 15:00:00+02:00,2018-08-27 16:00:00+02:00,None,None
Debrief cercle remu,2020-06-19 14:30:00+02:00,2020-06-19 15:15:00+02:00,"https://us02web.zoom.us/j/83380407766

ID de réunion : 833 8040 7766",None
Préparation Négo Rémunération,2019-01-31 15:00:00+01:00,2019-01-31 16:00:00+01:00,None,None
Préparation réunion stratégique,2018-05-23 15:00:00+02:00,2018-05-23 16:00:00+02:00,"Décalage de la réunion. 
Bonne journée, 
---------------------------

Hello, 

Je vous propose ce point pour commencer à préparer la réunion stratégique du 28 mai prochain. A voir ensemble : 
- Bilan des 6 derniers mois : présentation des 5 accomplissements les plus marquants + les choses qu'on aurait pu accomplir mais qui n'ont pas pu être faites finalement pour cause de... (manque de temps, de ressources...) 
- début de travail sur nos objectifs pour les 6 prochains mois (il y aura des allers-retours avec Gabriel par la suite certainement pour se mettre d'accord). 

Si on a le temps, nous pourrons aussi amorcer une reflexion sur notre raison d'être, nos rôles et redevabilités (c'est du bonus) 

Merci d'avance pour votre participation, 
Audrey",None
Point Orga Tableau,2018-12-12 16:30:00+01:00,2018-12-12 17:30:00+01:00,None,None
déj,2017-07-20 12:00:00+02:00,2017-07-20 13:00:00+02:00,None,None
Point extraction données pour REScoopPlus,2018-09-05 10:00:00+02:00,2018-09-05 11:00:00+02:00,"Bonjour Gabriel,
Avec Maëlle, et pour le projet REScoop Plus, nous te proposons ce temps d'échanges en lien avec notre besoin de seconde EXTRACTION de données de consommation dans le cadre de l'analyse statistique de l'Université Technologique de Crête. Cela fera suite à la passation faite par Vincent Kober à l'époque.
J'espère que ce créneau te correspondra.
Si tu penses que quelqu'un d'autre de ton équipe a tout intérêt à être présent pour ce temps d'échange, n'hésites pas à lui proposer.",Bureau Gabriel
